"Mesure","Claude style Duras","Claude style Fourth Wing","Autobiographie des objets","Prison","Sortie d'usine","L'Éducation Sentimentale","Madame Bovary","Salammbô","Trois contes","LES CARACTÈRES","Cherokee","Courir","Des éclairs","L'équipée malaise","Lac","Ravel","Vie de Gérard Fulmard","Le créateur chimérique","Les maîtres-feu","Les olympiades truquées.","Pollen","La Princesse de Clèves","Du côté de chez Swan","Le temps retrouvé","L'Été 80","Le Ravissement de Lol V. Stein","L’Amant","Un barrage contre le Pacifique","Anéantir","Extension du domaine de la lutte","La Carte et le Territoire","La possibilité d'une île","Les particules élémentaires","Plateforme","Soumission","Motel Valparaiso","487 000 signes 473","487 000 signes 473","Ginkoo-Bilooba, chronique d'une utopie modeste","Nouvelles horroristiques","Nouvelles humouristiques","J'écris l'Iliade","La Grande Beune","Les deux Beune","Vies minuscules","Fourth wing - Tome 1","Comme elle l'imagine","Un puma dans le coeur","Clitoria","La Quatrième Théorie","Le Code Houellebecq","Le geste qui sauve","L’expérience humaine","Mon père, ce tueur","Rush","Résistants","Ératosthène","σ ?"
"Futur périphrastique ?","0 %","20 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","40 %","33 %","33 %","14 %","27 %","18 %","0 %","0 %","33 %","20 %","20 %","0 %","0 %","71 %","100 %","33 %","0 %","0 %","25 %","0 %","9 %","0 %","0 %","0 %","0 %","40 %","11 %","25 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","67 %","25 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","161.2 %"
"Exclamations ?","0 %","0 %","0 %","0 %","0 %","7 %","10 %","8 %","9 %","5 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","2 %","3 %","5 %","4 %","0 %","12 %","4 %","0 %","0 %","0 %","0 %","2 %","4 %","0 %","2 %","0 %","3 %","1 %","1 %","12 %","3 %","4 %","5 %","5 %","0 %","0 %","0 %","0 %","4 %","8 %","2 %","1 %","3 %","0 %","0 %","0 %","1 %","1 %","4 %","4 %","129.9 %"
"Familiarité orale ?","3 %","3 %","3 %","0 %","6 %","0 %","0 %","0 %","0 %","15 %","10 %","15 %","19 %","0 %","9 %","9 %","0 %","0 %","0 %","0 %","5 %","0 %","0 %","0 %","8 %","6 %","0 %","9 %","0 %","0 %","3 %","3 %","4 %","8 %","7 %","7 %","25 %","0 %","3 %","3 %","11 %","0 %","0 %","0 %","0 %","5 %","4 %","0 %","0 %","0 %","3 %","0 %","7 %","0 %","13 %","6 %","0 %","122.6 %"
"Passé simple ?","0 %","0 %","0 %","1 %","0 %","19 %","24 %","11 %","21 %","0 %","14 %","0 %","1 %","16 %","10 %","0 %","0 %","13 %","13 %","8 %","19 %","10 %","2 %","0 %","0 %","11 %","0 %","16 %","4 %","0 %","5 %","2 %","10 %","4 %","5 %","0 %","3 %","0 %","1 %","10 %","8 %","4 %","5 %","5 %","8 %","0 %","12 %","0 %","0 %","17 %","7 %","0 %","0 %","0 %","0 %","0 %","0 %","117.2 %"
"Subjonctif imparfait ou plus-que-parfait ?","0 %","0 %","1 %","0 %","2 %","1 %","3 %","0 %","2 %","3 %","0 %","1 %","0 %","5 %","2 %","0 %","0 %","3 %","2 %","2 %","1 %","5 %","5 %","5 %","1 %","1 %","0 %","0 %","0 %","0 %","0 %","0 %","0 %","1 %","1 %","0 %","0 %","1 %","1 %","1 %","0 %","1 %","2 %","2 %","3 %","0 %","1 %","0 %","1 %","0 %","0 %","1 %","2 %","1 %","0 %","0 %","1 %","105.5 %"
"Passé narratif ?","0 %","0 %","2 %","1 %","0 %","22 %","28 %","16 %","27 %","2 %","24 %","1 %","2 %","23 %","16 %","0 %","0 %","19 %","24 %","11 %","26 %","15 %","4 %","4 %","2 %","17 %","0 %","18 %","5 %","1 %","6 %","5 %","14 %","4 %","7 %","0 %","5 %","1 %","1 %","13 %","11 %","8 %","8 %","8 %","22 %","2 %","14 %","0 %","3 %","24 %","11 %","2 %","1 %","1 %","2 %","0 %","1 %","103.6 %"
"Temps littéraires ?","0 %","0 %","1 %","1 %","2 %","20 %","26 %","11 %","22 %","3 %","14 %","1 %","1 %","20 %","11 %","0 %","0 %","15 %","15 %","10 %","20 %","16 %","7 %","5 %","1 %","11 %","0 %","16 %","4 %","0 %","5 %","3 %","10 %","5 %","6 %","0 %","4 %","1 %","2 %","11 %","9 %","5 %","6 %","7 %","10 %","0 %","12 %","0 %","1 %","17 %","7 %","1 %","2 %","1 %","0 %","1 %","2 %","102.5 %"
"Taux d'accumulation coordonnée ?","0 %","5 %","9 %","37 %","9 %","2 %","2 %","2 %","2 %","16 %","7 %","4 %","11 %","1 %","3 %","10 %","10 %","1 %","1 %","3 %","1 %","9 %","16 %","14 %","4 %","1 %","2 %","4 %","2 %","0 %","7 %","3 %","1 %","0 %","5 %","1 %","2 %","7 %","6 %","2 %","3 %","5 %","9 %","9 %","11 %","0 %","3 %","2 %","1 %","0 %","1 %","2 %","0 %","0 %","1 %","0 %","1 %","95.7 %"
"Densité de ponctuation savante ?","3 %","4 %","19 %","22 %","4 %","25 %","27 %","38 %","34 %","94 %","6 %","7 %","11 %","9 %","13 %","11 %","14 %","2 %","2 %","4 %","2 %","50 %","21 %","14 %","5 %","7 %","0 %","3 %","24 %","34 %","23 %","51 %","28 %","37 %","38 %","7 %","11 %","10 %","14 %","9 %","9 %","30 %","50 %","48 %","117 %","1 %","12 %","11 %","2 %","1 %","6 %","7 %","10 %","3 %","9 %","6 %","2 %","92.0 %"
"Chaînes adjectivales ?","0 %","1 %","3 %","3 %","1 %","1 %","0 %","1 %","1 %","4 %","2 %","1 %","4 %","1 %","2 %","5 %","2 %","0 %","3 %","2 %","1 %","3 %","1 %","1 %","2 %","0 %","1 %","1 %","2 %","2 %","3 %","1 %","1 %","1 %","7 %","0 %","2 %","3 %","2 %","1 %","0 %","2 %","5 %","4 %","5 %","1 %","1 %","2 %","0 %","0 %","1 %","3 %","0 %","0 %","3 %","0 %","1 %","83.2 %"
